Hãng xe,Dòng xe,Giá thành,Năm sản xuất,Số Km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Tuổi thọ,Loại động cơ,Dung tích động cơ
47,1387,1249000000,0.5417950324350125,-0.016467223625108374,0,6,1,-0.604528152916388,2,-0.64214753815125
47,1403,1499000000,0.5417950324350125,-0.017174111653460396,0,6,1,-0.604528152916388,2,-0.07111809691209854
47,1506,4379000000,1.1648009339341023,-0.022539391788652254,1,5,1,-0.604528152916388,3,-2.3552358618687044
47,1842,8999000000,0.5417950324350125,-0.018305132498823633,1,5,1,-0.604528152916388,2,2.212999668044507
47,1927,1646000000,0.7494636662680425,-0.021274062217902134,0,5,1,-0.604528152916388,2,-0.07111809691209854
47,1941,1949000000,0.7494636662680425,-0.02254151245273731,0,5,1,-0.604528152916388,2,-0.07111809691209854
47,1942,2449000000,0.9571323001010724,-0.022539391788652254,0,5,1,-0.604528152916388,2,-0.07111809691209854
47,1942,2449000000,0.9571323001010724,-0.02254151245273731,0,5,1,-0.604528152916388,2,-0.07111809691209854
47,3307,5099000000,0.9571323001010724,-0.02254434000485072,1,6,1,-0.604528152916388,2,1.0709407855662043
47,3307,5529000000,0.9571323001010724,-0.02205163904908936,1,6,1,-0.604528152916388,2,1.0709407855662043
47,4011,3699000000,0.7494636662680425,-0.022532322908368735,1,8,1,-0.604528152916388,2,-0.07111809691209854
71,1809,1199000000,1.3724695677671324,-0.022545046892879072,0,5,1,-0.604528152916388,0,0.3857054560792225
71,2924,1080000000,-0.7042167705631672,-0.008408700101895308,1,5,1,-0.604528152916388,2,0.7283231208227138
23,1218,690000000,-0.08121086906407739,-0.008691455313236117,1,5,1,-0.604528152916388,2,-0.64214753815125
26,453,529000000,1.3724695677671324,-0.022546460668935776,0,6,1,-0.604528152916388,2,-0.64214753815125
26,453,529000000,1.3724695677671324,-0.022546460668935776,0,6,1,-0.604528152916388,2,-0.64214753815125
26,2337,455000000,0.1264577647689526,-0.013781049117370686,0,3,1,-0.604528152916388,2,-0.07111809691209854
26,3362,655000000,-0.28887950289710734,-0.0013398198183750746,0,5,1,-0.604528152916388,0,0.15729367958356225
26,3384,995000000,0.5417950324350125,-0.01788099968181242,0,5,1,-0.604528152916388,0,0.15729367958356225
26,3987,630000000,0.1264577647689526,-0.011377629820973807,0,3,1,-0.604528152916388,2,-0.07111809691209854
35,3465,520000000,0.5417950324350125,-0.012225895454996234,0,3,1,-0.604528152916388,2,-0.7563534263990804
38,2430,8390000000,1.1648009339341023,-0.020849929400890917,1,8,1,-0.604528152916388,1,0.0
44,70,340000000,-0.4965481367301373,-0.011377629820973807,0,6,1,-0.604528152916388,2,-0.64214753815125
44,76,495000000,0.7494636662680425,-0.016749978836449183,0,6,1,-0.604528152916388,2,-0.64214753815125
47,661,1199000000,0.5417950324350125,-0.017174111653460396,0,6,1,-0.604528152916388,2,-0.07111809691209854
47,1931,769000000,-0.4965481367301373,-0.011943140243655425,0,5,1,-0.604528152916388,2,-0.07111809691209854
47,1937,1050000000,-0.08121086906407739,-0.014912069962733922,0,5,1,-0.604528152916388,2,-0.07111809691209854
50,2801,685000000,0.5417950324350125,-0.013356916300359472,0,5,1,-0.604528152916388,2,-0.07111809691209854
56,843,6589000000,0.9571323001010724,-0.0221364656124916,1,5,1,-0.604528152916388,2,1.0709407855662043
71,1764,775000000,0.1264577647689526,-0.019718908555527683,1,5,0,-0.604528152916388,0,0.3857054560792225
71,1791,730000000,0.33412639860198257,-0.010246608975610569,1,5,1,-0.604528152916388,2,0.7283231208227138
71,1796,360000000,-1.534891305895287,-0.017739622076142016,0,5,1,-0.604528152916388,2,0.7283231208227138
71,4161,305000000,0.5417950324350125,-0.021910261443418955,1,4,1,-0.604528152916388,2,-0.984765202894741
5,148,1559000000,1.1648009339341023,-0.01788099968181242,0,6,1,-0.604528152916388,2,-0.07111809691209854
5,4208,1979000000,1.1648009339341023,-0.021135653541950808,0,5,1,-0.604528152916388,2,-0.07111809691209854
5,4234,2899000000,0.7494636662680425,-0.018587887710164445,0,5,1,-0.604528152916388,2,1.0709407855662043
18,1618,940000000,0.7494636662680425,-0.008691455313236117,1,5,1,-0.604528152916388,0,-0.07111809691209854
26,1236,950000000,1.3724695677671324,-0.02113268461223173,0,8,1,-0.604528152916388,2,-0.07111809691209854
38,2480,9399000000,1.3724695677671324,-0.021980950246254155,1,5,1,-0.604528152916388,2,1.5277643385575255
38,3266,695000000,-1.9502285735613472,-0.0038846167204423586,1,5,1,-0.604528152916388,2,1.641970226805356
44,1276,665000000,0.33412639860198257,-0.022546460668935776,0,5,1,-0.604528152916388,2,-0.07111809691209854
47,1432,1759000000,0.7494636662680425,-0.014770692357063518,0,6,1,-0.604528152916388,2,-0.07111809691209854
47,1844,9888000000,0.9571323001010724,-0.02183957264058375,1,5,1,-0.604528152916388,2,2.212999668044507
47,1899,949000000,0.1264577647689526,-0.019577530949857275,1,5,1,-0.604528152916388,2,-0.5279416499034196
47,1927,1498000000,0.7494636662680425,-0.017598244470471612,0,5,1,-0.604528152916388,2,-0.07111809691209854
47,1932,780000000,-0.28887950289710734,-0.022546460668935776,0,5,1,-0.604528152916388,2,-0.07111809691209854
47,1942,2298000000,0.9571323001010724,-0.018587887710164445,0,5,1,-0.604528152916388,1,0.0
47,1944,2479000000,1.3724695677671324,-0.022320256499863127,0,5,1,-0.604528152916388,1,0.0
47,3308,3799000000,0.5417950324350125,-0.015986539765829,1,6,1,-0.604528152916388,2,1.0709407855662043
65,3744,255000000,-0.9118854043961973,-0.022546460668935776,0,4,1,-0.604528152916388,2,-0.7563534263990804
71,1066,288000000,-1.7425599397283171,-0.022546460668935776,0,6,1,-0.604528152916388,2,-0.2995298734077591
71,1796,323000000,-1.534891305895287,-0.020849929400890917,0,5,1,-0.604528152916388,2,0.7283231208227138
76,3787,2278000000,1.1648009339341023,-0.02000166376686849,1,5,1,-0.604528152916388,2,-0.07111809691209854
18,3120,1175000000,1.1648009339341023,-0.01703273404778999,1,0,1,-0.604528152916388,0,-0.07111809691209854
26,3385,1115000000,0.7494636662680425,-0.013074161089018661,0,5,1,-0.604528152916388,0,0.15729367958356225
26,3392,1199000000,1.1648009339341023,-0.019153398132846063,0,5,1,-0.604528152916388,2,0.4999113443270529
35,826,1180000000,0.7494636662680425,-0.009822476158599354,0,8,1,-0.604528152916388,0,0.15729367958356225
35,831,1190000000,0.7494636662680425,-0.016891356442119587,0,8,1,-0.604528152916388,2,1.641970226805356
35,3570,625000000,0.5417950324350125,-0.015477580385415541,0,5,1,-0.604528152916388,2,0.3857054560792225
35,3673,950000000,1.1648009339341023,-0.019718908555527683,0,3,1,-0.604528152916388,2,-0.5279416499034196
38,2480,9200000000,1.3724695677671324,-0.02145785310527366,1,5,1,-0.604528152916388,2,1.5277643385575255
47,661,1245000000,0.5417950324350125,-0.015477580385415541,0,6,1,-0.604528152916388,2,-0.07111809691209854
47,1913,950000000,0.33412639860198257,-0.022545046892879072,1,5,1,-0.604528152916388,2,-0.8705593146469106
47,1942,2345000000,0.9571323001010724,-0.017598244470471612,0,5,1,-0.604528152916388,1,0.0
47,3325,1299000000,-0.7042167705631672,-0.022546460668935776,0,6,1,-0.604528152916388,2,3.0124408857793195
51,200,129000000,-0.4965481367301373,-0.022546460668935776,0,7,0,-0.604528152916388,0,0.0
